Datum;1.Hoe vaak gebruikt u internet per dag?;2.Maakt u zich zorgen over je privacy terwijl u met het internet verbonden bent.;3.Indien u zich zorgen maakt over u privacy, geef het een cijfer van 1-10;4.Indien je een account hebt op Google/Facebook/Youtube/Twitter, heb je het privacybeleid van deze sites gelezen voor je een account aanmaakte?;5.Indien u Facebook hebt, weet u wat Facebook over je verzamelt van gegevens en wat ze hiermee doen?;6.Indien u Youtube hebt, weet u wat Youtube over je verzamelt van gegevens en wat ze hiermee doen?;7.Indien u Google hebt, weet u wat Google over je verzamelt van gegevens en wat ze hiermee doen?;8.Indien u Twitter hebt, weet u wat Twitter over je verzamelt van gegevens en wat ze hiermee doen?;"9.Kent u de service &quot;Google Analytics&quot; die Google aanbiedt?";10.Welke informatie denk u dat u vrijgeeft tijdens het surfen?;11.Weet u wat een cookie is?;12.Verwijdert u regelmatig uw cookies?;13.Weet u wat cachegeheugen is?;14.Verwijdert u regelmatig uw cachegeheugen van de browser?;15.Weet u wat een MAC-adres is?;16.Weet u wat een IP-adres is?;17.Via welke brower surft u het meeste?;"18.Surft u vaak op publieke onbeveiligde netwerken (Wi-Fi), zoals bijvoorbeeld in een caf&eacute; of gewoon op straat?";19.Gebruikt u een VPN tijdens het surfen?;20.Gebruikt u bepaalde manieren om anoniemer te zijn tijdens het surfen?
;;;;;;;;;;;;;;;;;;;;
23/3/2017 om 19u 07m 07s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Nee; Nee; Nee; Nee; Nee;naar welke sites je surft; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;nee
23/3/2017 om 19u 07m 14s; 2-4 uur per dag; Ja;7; Nee; Ja; Ja; Ja; Ja; Ja;Metadata. (Zoekgedrag, locatie, persoonlijke info, leeftijd, geslacht, ...); Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Nee;Heb me neergelegd bij het feit dat gegevens verzamelt worden. Als ik echt anoniem zou willen zijn, zou ik het wel doen via TOR, VPNs, Proxies... Maar enige dat ik vaak gebruik is incognito, maar ben me er bewust van dat het niet echt anoniem is. Meer voor cache en geschiedenis te verwijderen wanneer je afsluit.
23/3/2017 om 19u 09m 35s; 2-4 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Ja;Ip, locatie, browser, OS; Ja; Elke week; Ja; Elke maand; Ja; Ja; Google Chrome; Nee; Nee;Nee
23/3/2017 om 19u 27m 13s; 2-4 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Ja;Zoekgeschiedenis, e-mailadres, telefoonnummers, naam, adres, IP-adres; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Ja;Neen
23/3/2017 om 19u 34m 43s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; ; Nee;Alle sites die ik bezoek; Nee; Geen idee; Ja; Elke week; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;Nee
23/3/2017 om 19u 54m 28s; 2-4 uur per dag; Ja;6; Nee; Ja; Ja; Ja; Ja; Ja;Zowat alles van leeftijd tot interesses tot koopgedrag; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Ja; Nee;Neen
23/3/2017 om 19u 55m 17s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Alles; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Safari; Nee; Ja;Nee
23/3/2017 om 19u 55m 25s; 4-8 uur per dag; Ja;6; Nee; Nee; Nee; Ja; Nee; Ja;Surfgedrag, Facebook informatie; Ja; Elke week; Ja; Elke week; Ja; Ja; Google Chrome; Ja; Nee;Incognito mode van Chrome om naar bepaalde sites te surfen
23/3/2017 om 19u 56m 49s; 4-8 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Nee;0; Ja; Elke dag; Ja; Elke dag; Ja; Ja; Google Chrome; Ja; Nee;nee
23/3/2017 om 20u 00m 40s; 4-8 uur per dag; Ja;7; Nee; Ja; Ja; Ja; Nee; Nee;Ip adres, Service provider, Surf gedrag, Locatie; Ja; Elke week; Ja; Elke week; Ja; Ja; Google Chrome; Nee; Nee;Incognito modus, Thor
23/3/2017 om 20u 01m 39s; 2-4 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Nee;locatie ; Nee; Geen idee; Nee; Geen idee; Nee; Nee; Google Chrome; Ja; Geen idee wat het is;bv bij fb instellen dat enkel ik of mijn vrienden bepaalde info kunnen zien 
23/3/2017 om 20u 03m 46s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;0; Nee; Elke maand; Ja; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;nee
23/3/2017 om 20u 08m 24s; 4-8 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Nee;MailadresNaamGsm-nummer als het via smartphone is; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Mozilla Firefox; Nee; Ja;VPN Niet aanmelden op onbekende netwerken
23/3/2017 om 20u 17m 57s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Ja;Ik ga er vanuit dat ik alles vrijgeef.; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Nee; Nee;Soms VPN
23/3/2017 om 20u 20m 55s; 2-4 uur per dag; Ja;10; Ja; Ja; Ja; Ja; Ja; Ja;Locatiegegevens indien deze aan staan(tracking)cookies, andere websites weten welke websites je bezoekt.; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Nee;Enkel indien dit nodig is
23/3/2017 om 20u 22m 15s; 4-8 uur per dag; Ja;8; Nee; Ja; Nee; Ja; ; Ja;zo goed als alles; Ja; Elke maand; Ja; Geen idee; Ja; Ja; Google Chrome; Ja; Nee;neen
23/3/2017 om 20u 24m 49s; 2-4 uur per dag; Ja;7; Nee; Nee; Nee; Nee; Nee; Nee;geschiedenis websites, eigen profielgegevens, wachtwoord; Nee; Geen idee; Nee; Geen idee; Nee; Nee; Google Chrome; Nee; Geen idee wat het is;geschiedenis wissen
23/3/2017 om 20u 28m 47s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Ja; Ja; Ja; Nee;Alles wat je bezoekt; Ja; Geen idee; Ja; Geen idee; Nee; Ja; Mozilla Firefox; Ja; Nee;Incognito venster
23/3/2017 om 20u 30m 57s; 4-8 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Ja;Zoektermen, IP adress, welke browser, geschatte locatie, schermgrootte, welk account ingelogd, gelinkte producten aant zoektermen, ...; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Nee; Nee;Niet tijdens het surfen
23/3/2017 om 20u 35m 13s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Nee; Nee; Nee; Nee;Mijn interesses die zullen gebruikt worden voor reclame boodschappen; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Internet Explorer; Nee; Geen idee wat het is;Neen
23/3/2017 om 20u 37m 33s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Ja; Ja; Ja; Ja; Nee;Nagenoeg alles, spijtig genoeg; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Nee; Nee;nee
23/3/2017 om 20u 37m 54s; 2-4 uur per dag; Ja;7; Nee; Ja; Nee; Nee; Nee; Nee;Gsm, email, naam, foto's; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Safari; Ja; Geen idee wat het is;Privacy-instellingen wijzigen 
23/3/2017 om 20u 39m 25s; 1-2 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Ja; Ja; Ja; Nee;Alle persoonlijke gegevens, geschiedenis,...; Ja; Geen idee; Ja; Elke maand; Nee; Ja; Google Chrome; Nee; Nee;Niet bewust
23/3/2017 om 20u 40m 27s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Ja; Nee; Nee; ; Nee;Naam, locatie, ip-address, interesses...; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Mozilla Firefox; Nee; Nee;nee
23/3/2017 om 20u 41m 41s; 2-4 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Ja;Persoonlijke voorkeuren op basis van zoektermen die ik heb gebruikt. (Eten, kledij, reizen...)De personen met wie ik veel contact heb.; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Nee; Nee;Nee
23/3/2017 om 20u 45m 47s; 4-8 uur per dag; Ja;5; Nee; Nee; Nee; Nee; Nee; Nee;email, interesses, naam, andere gegevens die je ingeeft, voorkeuren,; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;incognito kijken jwt
23/3/2017 om 20u 46m 09s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; ; Nee;NaamLeeftijdWoonplaatsVrienden; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;Zorgen dat ik niet alle info ingeef op fb die ze mij vragen
23/3/2017 om 20u 49m 40s; 1-2 uur per dag; Ja;6; Nee; Ja; Nee; Ja; Nee; Ja;Praktisch alles. Locaties, interesses,...; Ja; Elke week; Ja; Elke week; Ja; Ja; Opera; Nee; Nee;Neen
23/3/2017 om 20u 49m 58s; 2-4 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Nee;persoonljike gegevens zoals, thuisadres, e-mail adres, gsm-nummer, leeftijd; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Nee;Op sommige accounts gebruik ik een nickname
23/3/2017 om 20u 56m 59s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;adres, interesses; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Google Chrome; Nee; Ja;in cognito tabblad,
23/3/2017 om 20u 57m 02s; 4-8 uur per dag; Ja;5; Nee; Ja; Ja; Ja; Nee; Nee;Locatie, email, IP adres, naam; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Nee;TOR browser
23/3/2017 om 21u 01m 48s; 1-2 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Alles; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Mozilla Firefox; Nee; Nee;Een alternatief email-adres
23/3/2017 om 21u 03m 40s; 1-2 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Nee; Nee; Nee; Nee;email adres , interesses ; Ja; Elke maand; Ja; Elke week; Nee; Nee; Google Chrome; Nee; Nee;neen
23/3/2017 om 21u 05m 34s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Alles ; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;Neen
23/3/2017 om 21u 09m 08s; 2-4 uur per dag; Ja;3; Ja; Nee; Nee; Nee; Nee; Nee;0; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Safari; Nee; Geen idee wat het is;/
23/3/2017 om 21u 10m 06s; 4-8 uur per dag; Ja;8; Nee; Ja; Nee; Ja; Nee; Nee;Interesses, email adres, contact gegevens, foto's; Ja; Elke dag; Ja; Elke week; Ja; Ja; Google Chrome; Nee; Geen idee wat het is;"Een spam email adres onder een andere naam voor ""louche"" websites "
23/3/2017 om 21u 19m 45s; 2-4 uur per dag; Ja;7; Nee; Nee; Nee; Nee; Nee; Nee;emailadres en geschiedenis; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Nee;Neen
23/3/2017 om 21u 20m 06s; 2-4 uur per dag; Ja;5; Nee; Nee; ; ; ; Nee;Mijn naam en gesprekken; Ja; Geen idee; Ja; Elke maand; Nee; Ja; Safari; Ja; Nee;Mijn account op privé zetten
23/3/2017 om 21u 20m 06s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Geen idee; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;Nee
23/3/2017 om 21u 28m 49s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; ; ; ; Nee;Leeftijd, mailadres, locatie, naam; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Safari; Ja; Geen idee wat het is;Neen
23/3/2017 om 21u 28m 57s; 2-4 uur per dag; Ja;4; Nee; Nee; Nee; Nee; Nee; Nee;Foto's, interesses, persoonlijke gegevens; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Mozilla Firefox; Ja; Geen idee wat het is;Op mijn iPhone zet ik de knop privé aan. 
23/3/2017 om 21u 32m 30s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Ik denk niet veel, altijd zeer voorzichtig mee. Wel vaak naam en mailadres ; Ja; Elke maand; Nee; Geen idee; Nee; Ja; Safari; Nee; Nee;Neen eigenlijk niet, soms geef ik wel een vals mailadres op bv 123@123.com bijvoorbeeld 
23/3/2017 om 21u 56m 25s; 4-8 uur per dag; Ja;2; Nee; Ja; Nee; Nee; Nee; Nee;0; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Mozilla Firefox; Ja; Nee;neen
23/3/2017 om 22u 15m 32s; 4-8 uur per dag; Ja;10; Nee; Ja; Ja; Ja; Ja; Ja;Alles.; Ja; Elke dag; Ja; Elke dag; Ja; Ja; Google Chrome; Nee; Nee;Google apps
